order_id;employee_id;order_items;cost;order_time
10;928006887;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink};43.99999999999999;09/12/2022
11;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};87.77999999999999;09/12/2022
12;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};58.359999999999985;09/12/2022
13;928006887;{buns,crispy chicken,lettuce,grilled chicken,croutons,ceasar dressing,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};61.66;09/12/2022
14;229000879;{buns,grilled chicken,pepperjack cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,pepperjack cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};41.69999999999999;09/12/2022
15;928006235;{buns,crispy chicken,tater tots,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,tater tots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};58.03999999999999;09/12/2022
16;928006235;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,fountain drink,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};40.69;09/12/2022
17;928006887;{fountain drink,tater tots,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,pepperjack cheese,fountain drink,fountain drink,fountain drink,fountain drink};24.520000000000003;09/12/2022
18;928006887;{lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink};28.94;09/12/2022
19;529006731;{buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,tater tots,buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,fountain drink,buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};69.60999999999999;09/12/2022
20;529006731;{chicken tenders,chicken tenders,chicken tenders,honey mustard,tater tots,fountain drink,fountain drink};12.36;09/12/2022
21;229000879;{buns,grilled chicken,pepperjack cheese,buns,grilled chicken,pepperjack cheese,fountain drink,fountain drink};15.559999999999999;09/12/2022
22;928006887;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,buns,grilled chicken,pepperjack cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};68.03999999999998;09/12/2022
23;928006887;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,tater tots,lettuce,grilled chicken,croutons,ceasar dressing,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};47.859999999999985;09/12/2022
24;928006887;{lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink};13.059999999999999;09/12/2022
25;229000879;{buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,crispy chicken,fountain drink,tater tots,lettuce,grilled chicken,croutons,ceasar dressing,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};53.53999999999998;09/12/2022
26;928006235;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,pepperjack cheese,fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,french fries,french fries,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};77.6;09/12/2022
27;529006731;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,crispy chicken,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink};27.540000000000003;09/12/2022
28;928006235;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink};7.779999999999999;09/12/2022
29;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink};25.440000000000005;09/12/2022
30;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,french fries,fountain drink,fountain drink,fountain drink};17.04;09/12/2022
31;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,grilled chicken,croutons,ceasar dressing,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,grilled chicken,bacon,cheddar cheese,avocado,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};62.95999999999999;09/12/2022
32;229000879;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};78.83;09/12/2022
33;928006887;{buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink};44.19999999999999;09/12/2022
34;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,pepperjack cheese,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,french fries,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};71.13;09/12/2022
35;529006731;{french fries,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,pepperjack cheese,buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};63.83999999999999;09/12/2022
36;928006235;{buns,grilled chicken,bacon,cheddar cheese,avocado,fountain drink};9.18;09/12/2022
37;928006235;{fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink,fountain drink};26.920000000000005;09/12/2022
38;229000879;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,french fries,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,fountain drink,fountain drink};22.150000000000002;09/12/2022
39;529006731;{french fries,buns,grilled chicken,bacon,cheddar cheese,avocado,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink};21.940000000000005;09/12/2022
40;928006887;{chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,lettuce,grilled chicken,croutons,ceasar dressing,fountain drink,fountain drink,fountain drink,fountain drink};36.62;09/12/2022
41;928006235;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,tater tots,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,lettuce,grilled chicken,croutons,ceasar dressing,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};72.13;09/12/2022
42;928006235;{chicken tenders,chicken tenders,chicken tenders,honey mustard,tater tots,fountain drink,fountain drink};12.36;09/12/2022
43;928006235;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink};5.68;09/12/2022
44;529006731;{buns,crispy chicken,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};69.64999999999999;09/12/2022
45;928006235;{buns,beef,lettuce,onions,tomatoes,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink};32.32000000000001;09/12/2022
46;229000879;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,grilled chicken,pepperjack cheese,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink};39.11999999999999;09/12/2022
47;529006731;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,pepperjack cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink};24.630000000000006;09/12/2022
48;529006731;{fountain drink,buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,grilled chicken,croutons,ceasar dressing,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink};43.49999999999999;09/12/2022
49;529006731;{fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,fountain drink,fountain drink,fountain drink,fountain drink};34.11;09/12/2022
50;928006235;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,crispy chicken,buns,grilled chicken,bacon,cheddar cheese,avocado,chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,grilled chicken,croutons,ceasar dressing,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};72.74;09/12/2022
51;529006731;{buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,french fries,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,pepperjack cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};79.69999999999999;09/13/2022
52;928006235;{fountain drink,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};44.97999999999999;09/13/2022
53;928006887;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,french fries,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};38.28;09/13/2022
54;928006235;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,tater tots,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,tater tots,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,grilled chicken,bacon,cheddar cheese,avocado,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};60.04999999999999;09/13/2022
55;229000879;{buns,grilled chicken,pepperjack cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,buns,crispy chicken,fountain drink,fountain drink,fountain drink,fountain drink};40.40999999999999;09/13/2022
56;928006235;{buns,grilled chicken,bacon,cheddar cheese,avocado,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,crispy chicken,fountain drink,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,buns,crispy chicken,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};66.44;09/13/2022
57;928006235;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,crispy chicken,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,tater tots,buns,grilled chicken,pepperjack cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};61.649999999999984;09/13/2022
58;928006887;{buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink};18.06;09/13/2022
59;928006235;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,lettuce,grilled chicken,croutons,ceasar dressing,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink};32.43;09/13/2022
60;928006887;{buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink};26.740000000000006;09/13/2022
61;229000879;{buns,crispy chicken,fountain drink};7.779999999999999;09/13/2022
62;229000879;{french fries,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink};10.07;09/13/2022
63;928006887;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};47.389999999999986;09/13/2022
64;229000879;{buns,grilled chicken,pepperjack cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,fountain drink,fountain drink,fountain drink,fountain drink};32.720000000000006;09/13/2022
65;928006235;{buns,beef,lettuce,onions,tomatoes,tater tots,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,buns,grilled chicken,bacon,cheddar cheese,avocado,fountain drink,buns,beef,lettuce,onions,tomatoes,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};53.62999999999999;09/13/2022
66;928006887;{buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,french fries,french fries,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};33.60000000000001;09/13/2022
67;229000879;{chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,fountain drink,fountain drink,fountain drink};32.230000000000004;09/13/2022
68;229000879;{lettuce,grilled chicken,croutons,ceasar dressing,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,lettuce,hard boiled eggs,croutons,bacon,grape tomatoes,carrots,french fries,buns,crispy chicken,buns,beef,lettuce,onions,tomatoes,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};59.66;09/13/2022
69;529006731;{chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,lettuce,grilled chicken,croutons,ceasar dressing,french fries,lettuce,chicken bacon,croutons,ranch,shredded cheddar,grape tomatoes,carrots,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};83.48999999999998;09/13/2022
70;928006887;{lettuce,grilled chicken,croutons,ceasar dressing,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,grilled chicken,bacon,cheddar cheese,avocado,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};63.76999999999999;09/13/2022
71;928006235;{buns,grilled chicken,pepperjack cheese};5.59;09/13/2022
72;928006887;{tater tots,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,buns,grilled chicken,pepperjack cheese,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,beef,lettuce,onions,tomatoes,cheddar cheese,buns,crispy chicken,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};84.69999999999999;09/13/2022
73;928006887;{fountain drink,chicken tenders,chicken tenders,chicken tenders,honey mustard,chicken tenders,chicken tenders,chicken tenders,honey mustard,fountain drink,fountain drink};18.55;09/13/2022
74;928006887;{buns,grilled chicken,bacon,cheddar cheese,avocado,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink,fountain drink};26.920000000000005;09/13/2022
75;529006731;{buns,grilled chicken,bacon,cheddar cheese,avocado,french fries,buns,beef,lettuce,onions,tomatoes,cheddar cheese,chicken tenders,chicken tenders,chicken tenders,honey mustard,buns,chipotle,lettuce,onions,tomatoes,swiss cheese,bacon,fountain drink,fountain drink,fountain drink,fountain drink};36.01;09/13/2022
